Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
5428454ca;2012-12-14;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-428: Expose command options in bookie scripts to disable/enable auto recovery temporarily (rakesh, ivank via fpj);3;0
8c1e71f2b;2012-12-15;AUTHOR=Sijie Guo;MES=BOOKKEEPER-511: BookieShell is very noisy (ivank via sijie);3;0
d1a3c6d11;2012-12-15;AUTHOR=Sijie Guo;MES=BOOKKEEPER-512: BookieZkExpireTest fails periodically (ivank via sijie);3;1
a8d61e646;2012-12-17;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-375: Document about Auto replication service in BK (umamahesh via ivank);3;0
3ab615ebb;2012-12-18;AUTHOR=Sijie Guo;MES=BOOKKEEPER-490: add documentation for MetaStore interface (sijie, ivank via sijie);3;0
c784b6023;2012-12-18;AUTHOR=Sijie Guo;MES=BOOKKEEPER-342: add documentation for hedwig metadata manager interface. (sijie, ivank via sijie);3;0
a4d8a34fb;2012-12-18;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-509: TestBookKeeperPersistenceManager failed on latest trunk (sijie via ivank);3;3
e5b0dd0d9;2012-12-18;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-496: Ensure that the auditor and replication worker will shutdown if they lose their ZK session (ivank);3;10
d69986c4d;2012-12-18;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-500: Fencing doesn't work when restarting bookies. (sijie via ivank);3;12
a3da8c74c;2012-12-20;AUTHOR=Sijie Guo;MES=BOOKKEEPER-520: BookieFailureTest hangs on precommit build (ivank via sijie);3;3
fa1342697;2012-12-24;AUTHOR=Sijie Guo;MES=BOOKKEEPER-463: Refactor garbage collection code for ease to plugin different GC algorithm. (Fangmin, ivank, fpj via sijie);3;22
a0ae97c23;2012-12-24;AUTHOR=Sijie Guo;MES=BOOKKEEPER-522: TestHedwigHub is failing silently on Jenkins (ivank via sijie);3;10
7de3ecbd5;2012-12-24;AUTHOR=Sijie Guo;MES=BOOKKEEPER-447: Bookie can fail to recover if index pages flushed before ledger flush acknowledged (ivank via sijie);3;3
8a396e1f7;2012-12-27;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-520: BookieFailureTest hangs on precommit build (sijie via fpj, jira reopened);3;3
ea36e59a1;2012-12-28;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-514: TestDeadLock hanging sometimes (ivank, sijie via fpj);3;8
7b2b91579;2012-12-29;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-523: Every test should have a timeout (ivank, sijie via fpj);3;78
a27b64e34;2013-01-02;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-55: SubscribeReconnectRetryTask might retry subscription endlessly when another subscription is already successfully created previously (sijie via ivank);3;14
b4e985b32;2013-01-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-409: Integration Test - Perform bookie rereplication cycle by Auditor-RW processes (rakeshr via ivank);3;3
ee29f75f3;2013-01-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-507: Race condition happens if closeSubscription and subscribe happened at the same time (in multiplexed client). (sijie via ivank);3;5
005b62cc6;2013-01-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-293: Periodic checking of ledger replication status (ivank);3;12
f80dcedae;2013-01-07;AUTHOR=Sijie Guo;MES=BOOKKEEPER-524: Bookie journal filesystem gets full after SyncThread is terminated with exception (Matteo, fpj via sijie);3;3
b625fdc27;2013-01-07;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-355: Ledger recovery will mark ledger as closed with -1, in case of slow bookie is added to ensemble during recovery add (ivank);3;5
f7ce39d52;2013-01-07;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-534: Flakeyness in AuditorBookieTest (umamahesh via ivank);3;1
ed9b6037b;2013-01-07;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-532: AbstractSubscriptionManager#AcquireOp read subscriptions every time even it already owned the topic. (sijie via fpj);3;1
faf407d5d;2013-01-09;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-531: Cache thread should wait until old entries are collected (sijie via ivank);3;4
55a6e1b98;2013-01-09;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-541: Add guava to notice file (ivank via fpj);3;0
f0db18abe;2013-01-09;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-533: TestSubAfterCloseSub fails strangely in tests (ivank via fpj);3;12
1f5278d06;2013-01-09;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-529: stopServingSubscriber in delivery manager should remove stub callbacks in ReadAheadCache (sijie via ivank);3;6
5c19add8b;2013-01-09;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-542: Remove trailing spaces in IndexCorruptionTest (fpj via ivank);3;1
a9b851b3a;2013-01-10;AUTHOR=Sijie Guo;MES=BOOKKEEPER-543: Read zk host list in a wrong way in hedwig server (Fangmin via sijie);3;1
40de14017;2013-01-10;AUTHOR=Sijie Guo;MES=BOOKKEEPER-540: #stopServingSubscriber when channel is disconnected. (Fangmin via sijie);3;3
7c1793d29;2013-01-10;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-530: data might be lost during compaction. (ivank);3;4
4250c1f93;2013-01-10;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-538: Race condition in BookKeeper#close (ivank via fpj);3;6
1374b7ad2;2013-01-11;AUTHOR=Sijie Guo;MES=BOOKKEEPER-539: ClientNotSubscribedException & doesn't receive enough messages in TestThrottlingDelivery#testServerSideThrottle (sijie);3;3
96b5aa8e6;2013-01-12;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-503: The test case of TestThrottlingDelivery#testServerSideThrottle failed sometimes (jiannan & sijie via ivank);3;3
7d8079c44;2013-01-14;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-513: TestMessageFilter fails periodically (ivank);3;6
087e49027;2013-01-14;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-472: Provide an option to start Autorecovery along with Bookie Servers (umamahesh via ivank);3;9
7bed2a74a;2013-01-24;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-544: Modify hedwig server tests to allow client testcases to start/stop them as part of their tests (mridul via ivank);4;3
e95b9392d;2013-01-31;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-312: Implementation of JMS provider (mridul via ivank);4;147
b4bac04a8;2013-02-06;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-526: multiple threads for delivery manager (sijie via ivank);4;2
f060c0d27;2013-02-08;AUTHOR=Uma Maheswara Rao G;MES=BOOKKEEPER-561 Findbugs report errors with openjdk. Contributed by Ivan Kelly.;4;41
