Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
15ec3af5c9;2012-05-02;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-77] Removing authorizations requisite for Save button;1;1
f58fd03305;2012-05-03;AUTHOR=Fabio Martelli;MES=SYNCOPE-75 #comment provided test for multivalued attribute;1;5
c8375acdcf;2012-05-03;AUTHOR=Fabio Martelli;MES=SYNCOPE-67 #provided descendig order;1;9
39fe241fa1;2012-05-04;AUTHOR=Fabio Martelli;MES=SYNCOPE-67 #comment selenium text fixed;1;1
f4c5098908;2012-05-04;AUTHOR=Fabio Martelli;MES=SYNCOPE-81 #comment task execution used to be saved twice;1;2
811278f3e6;2012-05-08;AUTHOR=Fabio Martelli;MES=SYNCOPE-80 #comment the same problem - more or less - has been solved for users as well;1;7
e0f9eb0a0f;2012-05-08;AUTHOR=Fabio Martelli;MES=SYNCOPE-82 #comment task bean in jpa context wasn't updated since a wrong persistence mechanism was performed into the PropagationManager;1;2
247286fbfb;2012-05-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-45] Residual REST delete() call with DELETE HTTP METHOD;1;3
f5bea20150;2012-05-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-86] Fixed incorrect NotificationTask merge;1;5
fab375d42e;2012-05-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-84] Disabled ianal and apache-rat maven plugins in generated project's parent POM;1;0
4f6f13ab37;2012-05-23;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-85] Using openjpa strict dependencies + latest BVal; keep using openjpa-all as cargo dependency (for IT);1;0
749d1774c7;2012-05-23;AUTHOR=Fabio Martelli;MES=SYNCOPE-68 added incremental diff;1;8
c11ccb1f46;2012-05-25;AUTHOR=Fabio Martelli;MES=SYNCOPE-88 provided support for sqlserver;1;1
22680b992f;2012-05-28;AUTHOR=Fabio Martelli;MES=SYNCOPE-89 #comment provided ad-hoc maxPerRoot;1;1
7ccf7e0716;2012-05-29;AUTHOR=Fabio Martelli;MES=SYNCOPE-76 #comment provided order and confidential properties management;1;7
cae9834ccc;2012-05-30;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-83 Changed the behavior in the Recipients tab for the NotificationModalPage;1;6
a95621b891;2012-05-31;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-74 SyncopeConf parameters are available in mail templates;1;1
