Ticket ID;Date;Fixed Commits;Affected Versions
BOOKKEEPER-831;2014-12-17;1;3
BOOKKEEPER-828;2014-12-16;1;3
BOOKKEEPER-823;2014-12-10;1;3
BOOKKEEPER-821;2014-12-08;1;1
BOOKKEEPER-815;2014-12-04;1;4
BOOKKEEPER-814;2014-12-04;1;2
BOOKKEEPER-813;2014-12-04;1;2
BOOKKEEPER-809;2014-12-04;2;2
BOOKKEEPER-805;2014-11-25;2;2
BOOKKEEPER-804;2014-11-24;1;2
BOOKKEEPER-803;2014-11-21;1;3
BOOKKEEPER-802;2014-11-21;1;3
BOOKKEEPER-801;2014-11-21;1;3
BOOKKEEPER-800;2014-11-21;1;2
BOOKKEEPER-799;2014-11-21;1;2
BOOKKEEPER-797;2014-11-19;1;1
BOOKKEEPER-795;2014-10-27;1;2
BOOKKEEPER-794;2014-10-17;0;3
BOOKKEEPER-793;2014-10-13;1;3
BOOKKEEPER-769;2014-06-19;1;4
BOOKKEEPER-695;2013-10-16;1;3
BOOKKEEPER-594;2013-03-26;1;7
BOOKKEEPER-578;2013-02-27;1;7
BOOKKEEPER-1104;2017-07-27;1;1
BOOKKEEPER-1103;2017-07-26;1;1
BOOKKEEPER-1102;2017-07-22;1;1
BOOKKEEPER-1101;2017-07-19;0;1
BOOKKEEPER-1098;2017-06-14;0;1
BOOKKEEPER-1079;2017-05-26;1;1
BOOKKEEPER-1077;2017-05-25;1;1
BOOKKEEPER-1075;2017-05-25;1;1
BOOKKEEPER-1074;2017-05-25;1;1
BOOKKEEPER-1073;2017-05-25;1;1
BOOKKEEPER-1072;2017-05-25;0;1
BOOKKEEPER-1071;2017-05-18;1;1
BOOKKEEPER-1061;2017-05-10;1;1
BOOKKEEPER-1058;2017-05-10;1;1
BOOKKEEPER-1047;2017-05-04;1;1
BOOKKEEPER-1044;2017-04-25;1;1
BOOKKEEPER-1031;2017-04-10;1;1
BOOKKEEPER-1021;2017-04-03;1;1
BOOKKEEPER-1020;2017-04-01;1;1
BOOKKEEPER-1018;2017-03-27;3;1
BOOKKEEPER-1013;2017-03-23;1;1
BOOKKEEPER-999;2017-02-08;1;1
BOOKKEEPER-989;2016-12-20;1;1
BOOKKEEPER-988;2016-12-18;1;1
BOOKKEEPER-987;2016-12-16;1;1
BOOKKEEPER-986;2016-12-13;1;1
BOOKKEEPER-984;2016-12-10;1;1
BOOKKEEPER-980;2016-11-29;1;1
BOOKKEEPER-959;2016-10-20;1;1
BOOKKEEPER-958;2016-10-19;1;1
BOOKKEEPER-956;2016-10-19;1;1
BOOKKEEPER-955;2016-10-19;1;1
BOOKKEEPER-952;2016-10-14;1;1
BOOKKEEPER-940;2016-07-12;1;1
BOOKKEEPER-939;2016-07-11;1;1
BOOKKEEPER-938;2016-07-08;1;1
BOOKKEEPER-933;2016-06-17;1;1
BOOKKEEPER-927;2016-05-15;1;1
BOOKKEEPER-924;2016-04-22;1;1
BOOKKEEPER-908;2016-03-29;1;1
BOOKKEEPER-907;2016-03-16;1;2
BOOKKEEPER-903;2016-03-09;1;2
BOOKKEEPER-852;2015-04-10;1;1
BOOKKEEPER-1105;2017-08-09;1;1
BOOKKEEPER-957;2016-10-19;1;1
BOOKKEEPER-884;2016-01-12;0;1
BOOKKEEPER-872;2015-09-21;1;1
BOOKKEEPER-859;2015-06-21;0;1
BOOKKEEPER-847;2015-03-28;1;1
BOOKKEEPER-829;2014-12-17;0;1
BOOKKEEPER-798;2014-11-19;0;1
BOOKKEEPER-689;2013-10-04;0;1
BOOKKEEPER-680;2009-04-01;0;1
BOOKKEEPER-671;2013-08-13;0;1
BOOKKEEPER-377;2012-08-23;0;1
BOOKKEEPER-374;2012-08-19;0;1
BOOKKEEPER-233;2012-04-29;0;1
BOOKKEEPER-42;2011-08-10;0;1
BOOKKEEPER-24;2011-06-02;0;1
BOOKKEEPER-21;2011-05-31;0;1
