Version;ClassName;Size;LOC_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;WeightedAge;Buggy
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;379;579;8;7;3;556;521;69.5;533;533;66.62;392;170;49.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;479;763;9;8;3;683;573;75.88;603;603;67.0;392;170;43.55;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;133;148;1;0;1;148;148;148.0;148;148;148.0;55;55;55.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;113;194;3;2;2;184;173;61.33;174;174;58.0;317;170;105.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;94;168;3;2;2;158;147;52.66;148;148;49.33;317;170;105.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;48;1570;6;5;3;831;763;138.5;92;92;15.33;344;170;57.33;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;149;650;6;4;3;442;209;73.66;234;234;39.0;390;170;65.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;29;64;3;2;3;59;54;19.66;54;54;18.0;257;170;85.66;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;18;48;2;1;2;43;38;21.5;38;38;19.0;225;170;112.5;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;56;106;2;1;2;102;98;51.0;98;98;49.0;225;170;112.5;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;22;59;3;2;2;49;38;16.33;39;39;13.0;317;170;105.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;35;127;3;2;3;98;94;32.66;69;69;23.0;257;170;85.66;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;213;298;4;3;3;278;256;69.5;258;258;64.5;324;170;81.0;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;200;409;12;10;3;333;176;27.75;257;257;21.41;451;170;37.58;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;219;308;6;5;3;275;232;45.83;242;242;40.33;387;170;64.5;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;236;373;6;5;3;339;305;56.5;305;305;50.83;377;170;62.83;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;876;1354;10;9;3;1197;720;119.7;1040;1040;104.0;392;170;39.2;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;44;91;3;2;2;83;74;27.66;75;75;25.0;317;170;105.66;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;164;218;6;5;3;203;178;33.83;188;188;31.33;395;170;65.83;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;90;200;4;3;3;177;163;44.25;154;154;38.5;355;170;88.75;0;0.0;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;77;144;4;3;3;129;88;32.25;114;114;28.5;318;170;79.5;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;94;142;5;4;3;131;117;26.2;120;120;24.0;381;170;76.19;0;0.0;No
